guide,target,n_assigned,n_rescue,mean_ntc,mean_assigned,mean_rescue,d_assigned,d_rescue,p_assigned_vs_ntc,p_rescue_vs_ntc,ratio_rescue_over_assigned,fdr_assigned_vs_ntc,fdr_rescue_vs_ntc,responsive,rescue_significant,rescuable,condition,n_lanes_pooled
PCDHB15-4,PCDHB15,45,11,5.8556062867864966e-05,0.0,0.0,-0.010594747960567474,-0.010594747960567474,0.9189849685087765,0.9189849685087765,,0.9626221028588137,1.0,False,False,False,Stim48hr,24
WDR87-2,WDR87,43,16,1.6491620044689626e-05,0.0,0.0,-0.010596533305943012,-0.010596533305943012,0.9190203207691524,0.9190203207691524,,0.9626221028588137,1.0,False,False,False,Stim48hr,24
ALK-3,ALK,49,10,5.455057180370204e-05,0.01732366904616356,0.0,0.2010323703289032,-0.01059681549668312,0.16191846762929507,0.9190259040529293,-0.05271198603163252,0.19153496332499984,1.0,False,False,False,Stim48hr,24
LEP-4,LEP,57,13,2.3524802600149997e-05,0.26175549626350403,0.0,0.4824158251285553,-0.010611405596137047,0.006339786316269934,0.9193144025726948,-0.02199638785338208,0.009047752998588633,1.0,True,False,False,Stim48hr,24
STH-1,STH,74,11,2.322510954400059e-05,0.0,0.0,-0.010619847103953362,-0.010619847103953362,0.9194809698161485,0.9194809698161485,,0.9627108600568913,1.0,False,False,False,Stim48hr,24
STH-4,STH,68,11,2.322510954400059e-05,0.0,0.0,-0.010619847103953362,-0.010619847103953362,0.9194809698161485,0.9194809698161485,,0.9627108600568913,1.0,False,False,False,Stim48hr,24
ZFPM2-3,ZFPM2,44,12,1.787335168046411e-05,0.2792797386646271,0.0,0.8293533325195312,-0.010644548572599888,0.000171510623296225,0.9199668848029915,-0.012834757099561313,0.0002828323929566209,1.0,True,False,False,Stim48hr,24
LYPD2-3,LYPD2,66,10,1.5625668311258778e-05,0.9363287687301636,0.0,0.8282533884048462,-0.010644788853824139,5.647740359362918e-06,0.9199716094177778,-0.012852092128865542,1.0526829010428261e-05,1.0,True,False,False,Stim48hr,24
OR52L1-3,OR52L1,79,14,2.5385657863807864e-05,0.0,0.0,-0.010658356361091137,-0.010658356361091137,0.9202375245393083,0.9202375245393083,,0.9631596347860844,1.0,False,False,False,Stim48hr,24
FRG2C-4,FRG2C,76,14,5.704915747628547e-05,0.005685284733772278,0.0,0.15875443816184998,-0.010663166642189026,0.16269300458783326,0.9203316661351519,-0.06716767584990561,0.19196350368552914,1.0,False,False,False,Stim48hr,24
TRIM50-1,TRIM50,149,20,2.7341688110027462e-05,0.0,0.0,-0.010668707080185413,-0.010668707080185413,0.9204399688995222,0.9204399688995222,,0.9631596347860844,1.0,False,False,False,Stim48hr,24
OR10A3-2,OR10A3,80,16,5.560517456615344e-05,0.0,0.0,-0.010670434683561325,-0.010670434683561325,0.9204737235997429,0.9204737235997429,,0.9631596347860844,1.0,False,False,False,Stim48hr,24
CTSE-2,CTSE,223,14,4.114430339541286e-05,0.02644364908337593,0.0,0.2175053060054779,-0.010675052180886269,0.011250246825607286,0.9205638652675264,-0.049079502366794744,0.01563314276743367,1.0,True,False,False,Stim48hr,24
AIPL1-3,AIPL1,143,16,1.472522308176849e-05,0.04155755043029785,0.0,0.2510512173175812,-0.010680846869945526,0.017748263136811927,0.9206768894823375,-0.042544493446666685,0.024093984571097453,1.0,True,False,False,Stim48hr,24
ITIH1-3,ITIH1,100,14,5.330930071067996e-05,0.19839374721050262,0.0,0.6027143597602844,-0.010683326981961727,2.3111392754936764e-05,0.920725212969246,-0.017725356645245306,4.1074446110612806e-05,1.0,True,False,False,Stim48hr,24
KRTAP10-3-2,KRTAP10-3,81,13,4.1429953853366897e-05,0.0,0.0,-0.010687364265322685,-0.010687364265322685,0.9208038588707744,0.9208038588707744,,0.9633082853627669,1.0,False,False,False,Stim48hr,24
MMP8-2,MMP8,74,10,1.9105100363958627e-05,0.5686904788017273,0.0,0.7406554818153381,-0.010691818781197071,1.2337589541125555e-05,0.9208905660187922,-0.014435616887613583,2.2400969028587416e-05,1.0,True,False,False,Stim48hr,24
ASB10-4,ASB10,55,10,2.280820262967609e-05,0.036498695611953735,0.0,0.25314101576805115,-0.010693032294511795,0.09494315418513474,0.9209141737766835,-0.04224140549514758,0.11681451735197218,1.0,False,False,False,Stim48hr,24
ZNF574-2,ZNF574,62,10,0.07904671132564545,0.1024717390537262,0.07648874819278717,0.09131182730197906,-0.01069910079240799,0.2528577613534486,0.5129725307636035,-0.11717102930187556,0.28954559661353985,0.6953965717658125,False,False,False,Stim48hr,24
MPC1L-1,MPC1L,142,10,1.8211336282547563e-05,0.0,0.0,-0.010707324370741844,-0.010707324370741844,0.9211917753982766,0.9211917753982766,,0.9633819778088423,1.0,False,False,False,Stim48hr,24
OR14J1-2,OR14J1,119,22,1.855537084338721e-05,0.0,0.0,-0.010710351169109344,-0.010710351169109344,0.9212504738984205,0.9212504738984205,,0.9633819778088423,1.0,False,False,False,Stim48hr,24
KCNV2-4,KCNV2,46,10,2.0129406038904563e-05,0.05135946348309517,0.0,0.35470032691955566,-0.010711917653679848,0.04790083221414558,0.9212808337653108,-0.030199909164756025,0.06178495658545799,1.0,False,False,False,Stim48hr,24
GPR158-3,GPR158,115,12,6.827541074017063e-05,0.02962995134294033,0.0,0.23437336087226868,-0.01071443222463131,0.0389121570284296,0.9213295676792761,-0.04571523053966264,0.05081796743998379,1.0,False,False,False,Stim48hr,24
SMTNL1-3,SMTNL1,76,14,0.00010721209400799125,0.0,0.0,-0.011243792250752449,-0.011243792250752449,0.9310867121045718,0.9310867121045718,,0.9732706406937994,1.0,False,False,False,Stim48hr,24
ATP5D-1,ATP5F1D,98,12,0.7274163961410522,1.4070128202438354,0.7215291857719421,0.991756021976471,-0.011322857812047005,1.8406282963648182e-13,0.5161593892185109,-0.011416979137148748,6.125859736179726e-13,0.6985866511415001,True,False,False,Stim48hr,24
KCNJ2-4,KCNJ2,143,10,7.448422547895461e-05,0.08573376387357712,0.0,0.45396187901496887,-0.011325360275804996,9.205592726269446e-05,0.9325034056667216,-0.0249478222717277,0.00015515316203998716,1.0,True,False,False,Stim48hr,24
TAL1-1,STIL,130,22,0.4666820168495178,0.45906928181648254,0.4598503112792969,-0.013471984304487705,-0.011412388645112514,0.5571444942999737,0.5190264517128762,,0.6110694003863951,0.7020890500974822,False,False,False,Stim48hr,24
CFAP61-1,CFAP61,96,26,6.601877248613164e-05,0.0,0.0,-0.011458099819719791,-0.011458099819719791,0.9347605885949299,0.9347605885949299,,0.9765430123082384,1.0,False,False,False,Stim48hr,24
TCEB3B-2,ELOA2,48,11,9.831105126067996e-05,0.0,0.0,-0.011471183970570564,-0.011471183970570564,0.9349798774618511,0.9349798774618511,,0.9765430123082384,1.0,False,False,False,Stim48hr,24
TCEB3B-4,ELOA2,121,10,9.831105126067996e-05,0.0,0.0,-0.011471183970570564,-0.011471183970570564,0.9349798774618511,0.9349798774618511,,0.9765430123082384,1.0,False,False,False,Stim48hr,24
CLDN20-2,CLDN20,25,14,5.406386117101647e-05,0.0,0.0,-0.01151565182954073,-0.01151565182954073,0.9357208552102617,0.9357208552102617,,0.9771176799973416,1.0,False,False,False,Stim48hr,24
SYNE3-2,SYNE3,100,12,0.4781172275543213,0.6098330020904541,0.4719085991382599,0.25182488560676575,-0.011554563418030739,0.007547224862652278,0.5149808167889884,-0.045883326384484634,0.010693467703044251,0.6973902762991709,True,False,False,Stim48hr,24
DARC-2,ACKR1,35,11,5.66646340303123e-05,0.18602745234966278,0.0,0.6004580855369568,-0.011622436344623566,0.008454302152452983,0.9374734313650032,-0.019355949440218224,0.011929183367731178,1.0,True,False,False,Stim48hr,24
RANBP17-3,RANBP17,57,10,3.9061364077497274e-05,0.0,0.0,-0.011635581031441689,-0.011635581031441689,0.9376865683197834,0.9376865683197834,,0.978771266136933,1.0,False,False,False,Stim48hr,24
ZSCAN4-1,ZSCAN4,35,10,3.4989079722436145e-05,0.0,0.0,-0.011796634644269943,-0.011796634644269943,0.9402521936652672,0.9402521936652672,,0.9808496407237268,1.0,False,False,False,Stim48hr,24
IFNL2-4,IFNL2,120,11,4.959002399118617e-05,0.28883907198905945,0.0,0.7157081365585327,-0.011816877871751785,9.03583928881423e-08,0.9405687219750567,-0.016510749659173905,1.927595536747459e-07,1.0,True,False,False,Stim48hr,24
OR4B1-3,OR4B1,34,10,6.526205106638372e-05,0.0,0.0,-0.011835775338113308,-0.011835775338113308,0.9408630291150222,0.9408630291150222,,0.981169668861522,1.0,False,False,False,Stim48hr,24
ADAD2-3,ADAD2,121,13,8.834238542476669e-05,0.0,0.0,-0.011840865015983582,-0.011840865015983582,0.9409420955579454,0.9409420955579454,,0.981169668861522,1.0,False,False,False,Stim48hr,24
SLC35F4-1,SLC35F4,45,10,5.2990319090895355e-05,0.04192733019590378,0.0,0.33203136920928955,-0.01194649189710617,0.06110199648662376,0.9425644008396197,-0.03598000973689908,0.07742811133213431,1.0,False,False,False,Stim48hr,24
SLC35F4-4,SLC35F4,30,10,5.2990319090895355e-05,0.0,0.0,-0.01194649189710617,-0.01194649189710617,0.9425644008396197,0.9425644008396197,,0.9826612784654044,1.0,False,False,False,Stim48hr,24
BPIFB2-1,BPIFB2,44,12,5.716497253160924e-05,0.08127135783433914,0.0,0.3796183168888092,-0.011956735514104366,0.04098770678940667,0.9427198558859492,-0.03149672969443809,0.05341960157133358,1.0,False,False,False,Stim48hr,24
OR2F2-2,OR2F2,73,12,6.367084279190749e-05,0.0,0.0,-0.01202092133462429,-0.01202092133462429,0.9436863458322754,0.9436863458322754,,0.9834306130931668,1.0,False,False,False,Stim48hr,24
